title,description,subjects,preprocesado_lema,preprocesado,texto_limpio,contador_palabras,subjects_old
Mummies in the Morning,"Jack and his younger sister take a trip in their tree house back to ancient Egypt, where they help a queen's mummy continue her voyage to the Next Life.",['fantasy'],jack his young sister take trip tree house back ancient egypt where help queen mummy continue her voyage next life,jack his younger sister take trip tree house back ancient egypt where help queen mummy continue her voyage next life,"Jack and his younger sister take a trip in their tree house back to ancient Egypt, where they help a queen's mummy continue her voyage to the Next Life.",20,['magic']
Midnight on the moon,"The magic treehouse takes Jack and Annie to a moon base in the future, where they continue to search for the fourth thing they need to free their friend Morgan from the magician's spell.",['fantasy'],magic treehouse take jack annie moon base future where continue search fourth thing need free friend morgan magician spell,magic treehouse takes jack annie moon base future where continue search fourth thing need free friend morgan magician spell,"The magic treehouse takes Jack and Annie to a moon base in the future, where they continue to search for the fourth thing they need to free their friend Morgan from the magician's spell.",19,['magic']
"A Crown of Swords (The Wheel of Time, Book 7)","Terwijl de eindstrijd tussen de Draak en het Kwade steeds dichterbij komt, wordt het klimaat langzaam aan slechter.",['fantasy'],terwijl de eindstrijd tussen de draak en het kwade steed dichterbij komt wordt het klimaat langzaam aan slechter,terwijl de eindstrijd tussen de draak en het kwade steeds dichterbij komt wordt het klimaat langzaam aan slechter,"Terwijl de eindstrijd tussen de Draak en het Kwade steeds dichterbij komt, wordt het klimaat langzaam aan slechter.",18,['magic']
Temple of the Winds,"[*Temple of the Winds*](/works/OL2010484W) (1997) stato pubblicato in lingua italiana per la prima volta da Fanucci suddiviso in due volumi, [***La profezia della luna rossa***](/works/OL2010454W) (2001) e [*Il tempio dei venti*](/works/OL2010461W) (2001). In seguito è stato ripubblicato in volume unico col titolo *La spada della Verità - Volume 4* (2002).",['fantasy'],1997 stato pubblicato lingua italiana per la prima volta da fanucci suddiviso due volumi 2001 2001 seguito stato ripubblicato volume unico col titolo la spada della verit volume 2002,1997 stato pubblicato lingua italiana per la prima volta da fanucci suddiviso due volumi 2001 2001 seguito stato ripubblicato volume unico col titolo la spada della verit volume 2002,"(1997) stato pubblicato in lingua italiana per la prima volta da Fanucci suddiviso in due volumi,  (2001) e  (2001). In seguito è stato ripubblicato in volume unico col titolo *La spada della Verità   Volume 4* (2002).",29,['magic']
De la causa,"Giordano Bruno's notorious public death in 1600, at the hands of the Inquisition in Rome, marked the transition from Renaissance philosophy to the Scientific Revolution of the seventeenth century. In his philosophical works he addressed such delicate issues as the role of Christ as mediator and the distinction, in human beings, between soul and matter. This volume presents new translations of Cause, Principle and Unity, in which he challenges Aristotelian accounts of causality and spells out the implications of Copernicanism for a new theory of an infinite universe, and of two essays on magic, On Magic and A General Account of Bonding, in which he interprets earlier theories about magical events in the light of the unusual powers of natural phenomena. -- Back cover.",['fantasy'],giordano bruno notorious public death 1600 hand inquisition rome mark transition renaissance philosophy scientific revolution seventeenth century his philosophical work he address such delicate issue role christ mediator distinction human between soul matter volume present new translation because principle unity which he challenge aristotelian account causality spell out implication copernicanism new theory infinite universe two essay magic magic general account bonding which he interpret early theory magical event light unusual power natural phenomena back cover,giordano bruno notorious public death 1600 hands inquisition rome marked transition renaissance philosophy scientific revolution seventeenth century his philosophical works he addressed such delicate issues role christ mediator distinction human between soul matter volume presents new translations because principle unity which he challenges aristotelian accounts causality spells out implications copernicanism new theory infinite universe two essays magic magic general account bonding which he interprets earlier theories magical events light unusual powers natural phenomena back cover,"Giordano Bruno's notorious public death in 1600, at the hands of the Inquisition in Rome, marked the transition from Renaissance philosophy to the Scientific Revolution of the seventeenth century. In his philosophical works he addressed such delicate issues as the role of Christ as mediator and the distinction, in human beings, between soul and matter. This volume presents new translations of Cause, Principle and Unity, in which he challenges Aristotelian accounts of causality and spells out the implications of Copernicanism for a new theory of an infinite universe, and of two essays on magic, On Magic and A General Account of Bonding, in which he interprets earlier theories about magical events in the light of the unusual powers of natural phenomena.    Back cover.",75,['magic']
Blood of the Fold,"The third book in the sword of truth series

The Blood of the Fold continue to hunt down those with the gift, unwittingly being used by the Emperor Jagang, aka the Dream Walker, who tells some that he is the Creator and others that he is the Keeper. Either way, the images he shows them in their dreams, along with the commands he gives them, are enough to make them comply with whatever he says to do, including crimes that they normally would never commit. The only way to escape his control is to recite the oath that binds people to the protective magic of the Lord Rahl. After a pitched battle with the D'Haran army, the surviving members of the Blood of the Fold plead the oath, releasing them from the waking nightmare control of Jagang.",['fantasy'],third book sword truth series blood fold continue hunt down gift unwittingly use emperor jagang aka dream walker who tell some he creator other he keeper either way image he show dream along command he give enough make comply whatever he say include crime normally would never commit only way escape his control recite oath bind people protective magic lord rahl after pitch battle dharan army survive member blood fold plead oath release wake nightmare control jagang,third book sword truth series blood fold continue hunt down gift unwittingly used emperor jagang aka dream walker who tells some he creator others he keeper either way images he shows dreams along commands he gives enough make comply whatever he says including crimes normally would never commit only way escape his control recite oath binds people protective magic lord rahl after pitched battle dharan army surviving members blood fold plead oath releasing waking nightmare control jagang,"The third book in the sword of truth series
The Blood of the Fold continue to hunt down those with the gift, unwittingly being used by the Emperor Jagang, aka the Dream Walker, who tells some that he is the Creator and others that he is the Keeper. Either way, the images he shows them in their dreams, along with the commands he gives them, are enough to make them comply with whatever he says to do, including crimes that they normally would never commit. The only way to escape his control is to recite the oath that binds people to the protective magic of the Lord Rahl. After a pitched battle with the D'Haran army, the surviving members of the Blood of the Fold plead the oath, releasing them from the waking nightmare control of Jagang.",77,['magic']
Six of Crows,"BOOK ONE of the [Six of Crows Duology](https://openlibrary.org/works/OL19758128W/Six_of_Crows_Crooked_Kingdom)

Six of Crows is a fantasy novel written by the Israeli-American author Leigh Bardugo published by Henry Holt and Co. in 2015. The story follows a thieving crew and is primarily set in the city of Ketterdam, loosely inspired by Dutch Republic–era Amsterdam. The plot is told from third-person viewpoints of seven different characters.

The novel is followed by [Crooked Kingdom](https://openlibrary.org/works/OL17597665W) (2016) and is part of the Grishaverse. 

Followed by: [Crooked Kingdom][2]


  [2]: https://openlibrary.org/works/OL17597665W/Crooked_Kingdom","['fantasy', 'mystery']",book one six crows fantasy novel write israeli american author leigh bardugo publish henry holt co 2015 story follow thieve crew primarily set city ketterdam loosely inspire dutch republic era amsterdam plot tell third person viewpoint seven different character novel follow 2016 part grishaverse follow,book one six crows fantasy novel written israeli american author leigh bardugo published henry holt co 2015 story follows thieving crew primarily set city ketterdam loosely inspired dutch republic era amsterdam plot told third person viewpoints seven different characters novel followed 2016 part grishaverse followed,"BOOK ONE of the 
Six of Crows is a fantasy novel written by the Israeli American author Leigh Bardugo published by Henry Holt and Co. in 2015. The story follows a thieving crew and is primarily set in the city of Ketterdam, loosely inspired by Dutch Republic–era Amsterdam. The plot is told from third person viewpoints of seven different characters.
The novel is followed by  (2016) and is part of the Grishaverse. 
Followed by:",45,"['magic', 'thriller', 'young_adult_fiction']"
Abhorsen,"Book three in Garth Nix's internationally acclaimed Old Kingdom fantasy trilogy that began with Sabriel and Lirael.Beneath the earth, a malignant force lies waiting, greedy for freedom from its ancient prison. As the Old Kingdom falls once more into a realm of darkness and terror, the people look desperately to the Abhorsen, the scourge of the Dead, to save them. Yet Abhorsen Sabriel is lost, missing in Ancelstierre.Only Lirael has any chance of stopping the Destroyer. With her companions Sameth, Mogget and the Disreputable Dog, she travels across the Old Kingdom in a race against time, battling Shadow Hands and dark necromancers to reach Ancelstierre before it is too late. But what hope can one young woman have against a terrible evil with the power to destroy life itself?This eagerly awaited conclusion to Garth Nix's extraordinary Sabriel and Lirael is a complex and vividly imagined story, powerful, terrifying and compelling.This beautiful edition includes Garth Nix's answers to the questions he is most frequently asked about the Old Kingdom books and writing in general, and a discussion of his favourite books from his own childhood.'The reader's absorption into the intrigue, magic and dazzling richness of the worlds and characters created by Nix is irresistible pleasure ...' Australian Review of Books'Terror, courage, bitterness, love, desperation, and sacrifice all swirl together in an apocalyptic climax that pits both Life and Death together against the destruction of everything ... This one is breathtaking, bittersweet and utterly unforgettable.' Kirkus Reviews",['fantasy'],book three garth nix internationally acclaim old kingdom fantasy trilogy begin sabriel lirael beneath earth malignant force lie wait greedy freedom ancient prison old kingdom fall once more into realm darkness terror people look desperately abhorsen scourge dead save yet abhorsen sabriel lose miss ancelstierre only lirael any chance stop destroyer her companion sameth mogget disreputable dog she travel across old kingdom race against time battle shadow hands dark necromancer reach ancelstierre before too late what hope can one young woman against terrible evil power destroy life itselfthis eagerly await conclusion garth nix extraordinary sabriel lirael complex vividly imagine story powerful terrifying compelling beautiful edition include garth nix answer question he most frequently ask old kingdom book write general discussion his favourite book his own childhood the reader absorption into intrigue magic dazzling richness world character create nix irresistible pleasure australian review booksterror courage bitterness love desperation sacrifice all swirl together apocalyptic climax pit both life death together against destruction everything one breathtaking bittersweet utterly unforgettable kirkus reviews,book three garth nix internationally acclaimed old kingdom fantasy trilogy began sabriel lirael beneath earth malignant force lies waiting greedy freedom ancient prison old kingdom falls once more into realm darkness terror people look desperately abhorsen scourge dead save yet abhorsen sabriel lost missing ancelstierre only lirael any chance stopping destroyer her companions sameth mogget disreputable dog she travels across old kingdom race against time battling shadow hands dark necromancers reach ancelstierre before too late what hope can one young woman against terrible evil power destroy life itselfthis eagerly awaited conclusion garth nix extraordinary sabriel lirael complex vividly imagined story powerful terrifying compelling beautiful edition includes garth nix answers questions he most frequently asked old kingdom books writing general discussion his favourite books his own childhood the reader absorption into intrigue magic dazzling richness worlds characters created nix irresistible pleasure australian review booksterror courage bitterness love desperation sacrifice all swirl together apocalyptic climax pits both life death together against destruction everything one breathtaking bittersweet utterly unforgettable kirkus reviews,"Book three in Garth Nix's internationally acclaimed Old Kingdom fantasy trilogy that began with Sabriel and Lirael.Beneath the earth, a malignant force lies waiting, greedy for freedom from its ancient prison. As the Old Kingdom falls once more into a realm of darkness and terror, the people look desperately to the Abhorsen, the scourge of the Dead, to save them. Yet Abhorsen Sabriel is lost, missing in Ancelstierre.Only Lirael has any chance of stopping the Destroyer. With her companions Sameth, Mogget and the Disreputable Dog, she travels across the Old Kingdom in a race against time, battling Shadow Hands and dark necromancers to reach Ancelstierre before it is too late. But what hope can one young woman have against a terrible evil with the power to destroy life itself?This eagerly awaited conclusion to Garth Nix's extraordinary Sabriel and Lirael is a complex and vividly imagined story, powerful, terrifying and compelling.This beautiful edition includes Garth Nix's answers to the questions he is most frequently asked about the Old Kingdom books and writing in general, and a discussion of his favourite books from his own childhood.'The reader's absorption into the intrigue, magic and dazzling richness of the worlds and characters created by Nix is irresistible pleasure ...' Australian Review of Books'Terror, courage, bitterness, love, desperation, and sacrifice all swirl together in an apocalyptic climax that pits both Life and Death together against the destruction of everything ... This one is breathtaking, bittersweet and utterly unforgettable.' Kirkus Reviews",168,"['magic', 'young_adult_fiction']"
The Castle of Llyr,"When Princess Eilonwy is sent to the Isle of Mona for training, she is bewitched by the evil enchantress Achren, so Taran and other friends must try to rescue her.",['fantasy'],when princess eilonwy send isle mona training she bewitch evil enchantress achren taran other friend must try rescue she,when princess eilonwy sent isle mona training she bewitched evil enchantress achren taran other friends must try rescue her,"When Princess Eilonwy is sent to the Isle of Mona for training, she is bewitched by the evil enchantress Achren, so Taran and other friends must try to rescue her.",19,['magic']
Celtic Fairy Tales,Twenty-six enchanting tales of Celtic Magic and Legend collected by Joseph Jacobs. Over 50 illustrations. A must have treasury for those interested in Celtic Mythology.,['fantasy'],twenty six enchanting tale celtic magic legend collect joseph jacobs over 50 illustration must treasury interested celtic mythology,twenty six enchanting tales celtic magic legend collected joseph jacobs over 50 illustrations must treasury interested celtic mythology,Twenty six enchanting tales of Celtic Magic and Legend collected by Joseph Jacobs. Over 50 illustrations. A must have treasury for those interested in Celtic Mythology.,18,"['magic', 'short_stories']"
Magic Kingdom For Sale/Sold!,"After Ben Holiday purchased Landover, he discovered the magic kingdom had some problems. The Barons refused to recognize a king and the peasants were without hope. To make matters worse, Ben learned that he had to duel to the death with the Iron Mask, the terrible lord of the demons--a duel which no human could hope to win....From the Paperback edition.",['fantasy'],after ben holiday purchase landover he discover magic kingdom some problem barons refuse recognize king peasant hope make matter bad ben learn he duel death iron mask terrible lord demon duel which human could hope win paperback edition,after ben holiday purchased landover he discovered magic kingdom some problems barons refused recognize king peasants hope make matters worse ben learned he duel death iron mask terrible lord demons duel which human could hope win paperback edition,"After Ben Holiday purchased Landover, he discovered the magic kingdom had some problems. The Barons refused to recognize a king and the peasants were without hope. To make matters worse, Ben learned that he had to duel to the death with the Iron Mask, the terrible lord of the demons  a duel which no human could hope to win....From the Paperback edition.",38,['magic']
La Sonrisa De Mona Ratisa,Gerónimo investiga para ver si el famoso cuadro Mona Mousa tiene un código secreto.,"['fantasy', 'mystery']",gernimo investiga para ver si el famoso cuadro mona mousa tiene un cdigo secreto,gernimo investiga para ver si el famoso cuadro mona mousa tiene un cdigo secreto,Gerónimo investiga para ver si el famoso cuadro Mona Mousa tiene un código secreto.,14,"['magic', 'mystery_and_detective_stories']"
Circe,"In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child--not powerful, like her father, nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power--the power of witchcraft, which can transform rivals into monsters and menace the gods themselves.

Threatened, Zeus banishes her to a deserted island, where she hones her occult craft, tames wild beasts and crosses paths with many of the most famous figures in all of mythology, including the Minotaur, Daedalus and his doomed son Icarus, the murderous Medea, and, of course, wily Odysseus.

But there is danger, too, for a woman who stands alone, and Circe unwittingly draws the wrath of both men and gods, ultimately finding herself pitted against one of the most terrifying and vengeful of the Olympians. To protect what she loves most, Circe must summon all her strength and choose, once and for all, whether she belongs with the gods she is born from, or the mortals she has come to love.

With unforgettably vivid characters, mesmerizing language and page-turning suspense, Circe is a triumph of storytelling, an intoxicating epic of family rivalry, palace intrigue, love and loss, as well as a celebration of indomitable female strength in a man's world.
([source][1])


  [1]: http://madelinemiller.com/circe/",['fantasy'],house helios god sun mighty titans daughter bear circe strange child powerful like her father nor viciously alluring like her mother turn world mortal companionship she discover she possess power power witchcraft which can transform rival into monster menace god themselves threaten zeus banish she deserted island where she hone her occult craft tame wild beast cross path many most famous figure all mythology include minotaur daedalus his doomed son icarus murderous medea course wily odysseus there danger too woman who stand alone circe unwittingly draw wrath both man god ultimately find herself pit against one most terrifying vengeful olympians protect what she love most circe must summon all her strength choose once all whether she belong god she bear mortal she come love unforgettably vivid character mesmerizing language page turn suspense circe triumph storytelling intoxicating epic family rivalry palace intrigue love loss well celebration indomitable female strength man world,house helios god sun mightiest titans daughter born circe strange child powerful like her father nor viciously alluring like her mother turning world mortals companionship she discovers she possess power power witchcraft which can transform rivals into monsters menace gods themselves threatened zeus banishes her deserted island where she hones her occult craft tames wild beasts crosses paths many most famous figures all mythology including minotaur daedalus his doomed son icarus murderous medea course wily odysseus there danger too woman who stands alone circe unwittingly draws wrath both men gods ultimately finding herself pitted against one most terrifying vengeful olympians protect what she loves most circe must summon all her strength choose once all whether she belongs gods she born mortals she come love unforgettably vivid characters mesmerizing language page turning suspense circe triumph storytelling intoxicating epic family rivalry palace intrigue love loss well celebration indomitable female strength man world,"In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child  not powerful, like her father, nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power  the power of witchcraft, which can transform rivals into monsters and menace the gods themselves.
Threatened, Zeus banishes her to a deserted island, where she hones her occult craft, tames wild beasts and crosses paths with many of the most famous figures in all of mythology, including the Minotaur, Daedalus and his doomed son Icarus, the murderous Medea, and, of course, wily Odysseus.
But there is danger, too, for a woman who stands alone, and Circe unwittingly draws the wrath of both men and gods, ultimately finding herself pitted against one of the most terrifying and vengeful of the Olympians. To protect what she loves most, Circe must summon all her strength and choose, once and for all, whether she belongs with the gods she is born from, or the mortals she has come to love.
With unforgettably vivid characters, mesmerizing language and page turning suspense, Circe is a triumph of storytelling, an intoxicating epic of family rivalry, palace intrigue, love and loss, as well as a celebration of indomitable female strength in a man's world.
()",150,['magic']
The Amulet of Samarkand,"Nathaniel, a magician's apprentice, summons up the djinni Bartimaeus and instructs him to steal the Amulet of Samarkand from the powerful magician Simon Lovelace.",['fantasy'],nathaniel magician apprentice summon up djinni bartimaeus instruct he steal amulet samarkand powerful magician simon lovelace,nathaniel magician apprentice summons up djinni bartimaeus instructs him steal amulet samarkand powerful magician simon lovelace,"Nathaniel, a magician's apprentice, summons up the djinni Bartimaeus and instructs him to steal the Amulet of Samarkand from the powerful magician Simon Lovelace.",16,"['magic', 'young_adult_fiction']"
Pillars of Creation,"Jennsen, the illegitimate daughter of Darken Rahl, flees her home into the shadows of Lord Richard Rahl's domain with a spy sent by Emperor Jagang, the enemy of D'Hara.  Pursued by dark forces Jennsen searches for a sorceress she thinks holds the keys to her destiny.",['fantasy'],jennsen illegitimate daughter darken rahl flee her home into shadow lord richard rahl domain spy send emperor jagang enemy dhara pursue dark force jennsen search sorceress she think hold key her destiny,jennsen illegitimate daughter darken rahl flees her home into shadows lord richard rahl domain spy sent emperor jagang enemy dhara pursued dark forces jennsen searches sorceress she thinks holds keys her destiny,"Jennsen, the illegitimate daughter of Darken Rahl, flees her home into the shadows of Lord Richard Rahl's domain with a spy sent by Emperor Jagang, the enemy of D'Hara.  Pursued by dark forces Jennsen searches for a sorceress she thinks holds the keys to her destiny.",32,['magic']
The Sword of Summer,"Magnus Chase has seen his share of trouble. Ever since that terrible night two years ago when his mother told him to run, he has lived alone on the streets of Boston, surviving by his wits, staying one step ahead of the police and the truant officers.

One day, Magnus learns that someone else is trying to track him down—his uncle Randolph, a man his mother had always warned him about. When Magnus tries to outmaneuver his uncle, he falls right into his clutches. Randolph starts rambling about Norse history and Magnus's birthright: a weapon that has been lost for thousands of years.

The more Randolph talks, the more puzzle pieces fall into place. Stories about the gods of Asgard, wolves, and Doomsday bubble up from Magnus's memory. But he doesn't have time to consider it all before a fire giant attacks the city, forcing him to choose between his own safety and the lives of hundreds of innocents. . . .

Sometimes, the only way to start a new life is to die.",['fantasy'],magnus chase see his share trouble ever since terrible night two year ago when his mother tell he run he live alone street boston survive his wit stay one step ahead police truant officer one day magnus learn someone else try track he down his uncle randolph man his mother always warn he when magnus try outmaneuver his uncle he fall right into his clutch randolph start ramble norse history magnus birthright weapon lose thousand year more randolph talk more puzzle piece fall into place story god asgard wolf doomsday bubble up magnus memory he time consider all before fire giant attack city force he choose between his own safety life hundred innocent sometimes only way start new life die,magnus chase seen his share trouble ever since terrible night two years ago when his mother told him run he lived alone streets boston surviving his wits staying one step ahead police truant officers one day magnus learns someone else trying track him down his uncle randolph man his mother always warned him when magnus tries outmaneuver his uncle he falls right into his clutches randolph starts rambling norse history magnus birthright weapon lost thousands years more randolph talks more puzzle pieces fall into place stories gods asgard wolves doomsday bubble up magnus memory he time consider all before fire giant attacks city forcing him choose between his own safety lives hundreds innocents sometimes only way start new life die,"Magnus Chase has seen his share of trouble. Ever since that terrible night two years ago when his mother told him to run, he has lived alone on the streets of Boston, surviving by his wits, staying one step ahead of the police and the truant officers.
One day, Magnus learns that someone else is trying to track him down—his uncle Randolph, a man his mother had always warned him about. When Magnus tries to outmaneuver his uncle, he falls right into his clutches. Randolph starts rambling about Norse history and Magnus's birthright: a weapon that has been lost for thousands of years.
The more Randolph talks, the more puzzle pieces fall into place. Stories about the gods of Asgard, wolves, and Doomsday bubble up from Magnus's memory. But he doesn't have time to consider it all before a fire giant attacks the city, forcing him to choose between his own safety and the lives of hundreds of innocents. . . .
Sometimes, the only way to start a new life is to die.",120,['magic']
Mary Poppins comes back,"Mary Poppins comes back on the end of a kite string, stays with the Banks family for a while, and then disappears on a merry-go-round horse.",['fantasy'],mary poppins come back end kite string stay banks family while then disappear merry go round horse,mary poppins comes back end kite string stays banks family while then disappears merry go round horse,"Mary Poppins comes back on the end of a kite string, stays with the Banks family for a while, and then disappears on a merry go round horse.",17,['magic']
Vacation Under the Volcano,"Their magic tree house takes Annie and Jack to Pompeii just as Vesuvius is about to erupt, and they must find a Roman scroll before everything is covered with burning ash.",['fantasy'],magic tree house take annie jack pompeii just vesuvius erupt must find roman scroll before everything cover burn ash,magic tree house takes annie jack pompeii just vesuvius erupt must find roman scroll before everything covered burning ash,"Their magic tree house takes Annie and Jack to Pompeii just as Vesuvius is about to erupt, and they must find a Roman scroll before everything is covered with burning ash.",19,['magic']
Brida,"This is the story of Brida, a young Irish girl, and her quest for knowledge. She has long been interested in various aspects of magic but is searching for something more. Her search leads her to people of great wisdom, who begin to teach Brida about the spiritual world. She meets a wise man who dwells in a forest, who teaches her about overcoming her fears and trusting in the goodness of the world; and a woman who teaches her how to dance to the music of the world, and how to pray to the moon. As Brida seeks her destiny, she struggles to find a balance between her relationships and her desire to become a witch. This enthralling novel incorporates themes that fans of Paulo Coelho will recognize and treasure—it is a tale of love, passion, mystery, and spirituality from the master storyteller.",['fantasy'],story brida young irish girl her quest knowledge she long interested various aspect magic search something more her search lead she people great wisdom who begin teach brida spiritual world she meet wise man who dwell forest who teach she overcome her fear trust goodness world woman who teach she how dance music world how pray moon brida seek her destiny she struggle find balance between her relationship her desire become witch enthralling novel incorporate theme fan paulo coelho will recognize treasure tale love passion mystery spirituality master storyteller,story brida young irish girl her quest knowledge she long interested various aspects magic searching something more her search leads her people great wisdom who begin teach brida spiritual world she meets wise man who dwells forest who teaches her overcoming her fears trusting goodness world woman who teaches her how dance music world how pray moon brida seeks her destiny she struggles find balance between her relationships her desire become witch enthralling novel incorporates themes fans paulo coelho will recognize treasure tale love passion mystery spirituality master storyteller,"This is the story of Brida, a young Irish girl, and her quest for knowledge. She has long been interested in various aspects of magic but is searching for something more. Her search leads her to people of great wisdom, who begin to teach Brida about the spiritual world. She meets a wise man who dwells in a forest, who teaches her about overcoming her fears and trusting in the goodness of the world; and a woman who teaches her how to dance to the music of the world, and how to pray to the moon. As Brida seeks her destiny, she struggles to find a balance between her relationships and her desire to become a witch. This enthralling novel incorporates themes that fans of Paulo Coelho will recognize and treasure—it is a tale of love, passion, mystery, and spirituality from the master storyteller.",89,['magic']
Howl's Moving Castle (Howl's Moving Castle #1),"As the oldest daughter, willful, outspoken Sophie knew that her life could lead to nothing but mistakes. When her father dies, her stepmother sends her two sisters out to make their fortunes while Sophie continues to work in the family hattery. As she whispers her thoughts to the hats she trims, the shop begins to grow in popularity, until she offends the Wicked Witch of the Waste. The witch casts a spell turning Sophie into an old woman. Sophie leaves the shop and happens upon the castle of the Wizard Howl. He has a reputation for finding young women and eating their hearts but that doesn't stop Sophie from moving in and turning the lives of the whole castle, including Howl's apprentice and his fire demon, upside down in a battle against the wicked witch and for Sophie's future.",['fantasy'],old daughter willful outspoken sophie know her life could lead nothing mistake when her father die her stepmother send she two sister out make fortune while sophie continue work family hattery she whisper her thought hat she trim shop begin grow popularity until she offend wicked witch waste witch cast spell turn sophie into old woman sophie leave shop happen upon castle wizard howl he reputation find young woman eat heart stop sophie move turn life whole castle include howl apprentice his fire demon upside down battle against wicked witch sophie future,oldest daughter willful outspoken sophie knew her life could lead nothing mistakes when her father dies her stepmother sends her two sisters out make fortunes while sophie continues work family hattery she whispers her thoughts hats she trims shop begins grow popularity until she offends wicked witch waste witch casts spell turning sophie into old woman sophie leaves shop happens upon castle wizard howl he reputation finding young women eating hearts stop sophie moving turning lives whole castle including howl apprentice his fire demon upside down battle against wicked witch sophie future,"As the oldest daughter, willful, outspoken Sophie knew that her life could lead to nothing but mistakes. When her father dies, her stepmother sends her two sisters out to make their fortunes while Sophie continues to work in the family hattery. As she whispers her thoughts to the hats she trims, the shop begins to grow in popularity, until she offends the Wicked Witch of the Waste. The witch casts a spell turning Sophie into an old woman. Sophie leaves the shop and happens upon the castle of the Wizard Howl. He has a reputation for finding young women and eating their hearts but that doesn't stop Sophie from moving in and turning the lives of the whole castle, including Howl's apprentice and his fire demon, upside down in a battle against the wicked witch and for Sophie's future.",92,['magic']
Winter's Heart,All I can say is this is yet another great chapter in the wheel of time.  A must for the fans. A  new people called The Kin are introduced.  Mat might meet his other wife in this story!,['fantasy'],all can say yet another great chapter wheel time must fan new people call kin introduce mat might meet his other wife story,all can say yet another great chapter wheel time must fans new people called kin introduced mat might meet his other wife story,All I can say is this is yet another great chapter in the wheel of time.  A must for the fans. A  new people called The Kin are introduced.  Mat might meet his other wife in this story!,23,['magic']
The Other Wind,"""The sorcerer Alder fears sleep. He dreams of the land of death, of his wife who died young and longs to return to him so much that she kissed him across the low stone wall that separates our world from the Dry Land - where the grass is withered, the stars never move, and lovers pass without knowing each other. The dead are pulling Alder to them at night. Through him they may free themselves and invade Earthsea."".

""Alder seeks advice from Ged, once Archmage. Ged tells him to go to Tenar, Tehanu, and the young king at Havnor. They are joined by amber-eyed Irian, a fierce dragon able to assume the shape of a woman."" ""This group can confront the threat only in the Immanent Grove on Roke. Joining them, Alder, a mender of pots, may be the only one who can mend the world.""--BOOK JACKET.",['fantasy'],sorcerer alder fear sleep he dream land death his wife who die young long return he much she kiss he across low stone wall separate world dry land where grass wither star never move lover pass know each other dead pull alder night through he may free themselves invade earthsea alder seek advice ged once archmage ged tell he go tenar tehanu young king havnor join amber eyed irian fierce dragon able assume shape woman group can confront threat only immanent grove roke join alder mender pot may only one who can mend world book jacket,sorcerer alder fears sleep he dreams land death his wife who died young longs return him much she kissed him across low stone wall separates world dry land where grass withered stars never move lovers pass knowing each other dead pulling alder night through him may free themselves invade earthsea alder seeks advice ged once archmage ged tells him go tenar tehanu young king havnor joined amber eyed irian fierce dragon able assume shape woman group can confront threat only immanent grove roke joining alder mender pots may only one who can mend world book jacket,"""The sorcerer Alder fears sleep. He dreams of the land of death, of his wife who died young and longs to return to him so much that she kissed him across the low stone wall that separates our world from the Dry Land   where the grass is withered, the stars never move, and lovers pass without knowing each other. The dead are pulling Alder to them at night. Through him they may free themselves and invade Earthsea."".
""Alder seeks advice from Ged, once Archmage. Ged tells him to go to Tenar, Tehanu, and the young king at Havnor. They are joined by amber eyed Irian, a fierce dragon able to assume the shape of a woman."" ""This group can confront the threat only in the Immanent Grove on Roke. Joining them, Alder, a mender of pots, may be the only one who can mend the world.""  BOOK JACKET.",96,['magic']
