title,description,subjects
Animal Farm,"Animal Farm is a brilliant political satire and a powerful and affecting story of revolutions and idealism, power and corruption. 'All animals are equal. But some animals are more equal than others.' Mr Jones of Manor Farm is so lazy and drunken that one day he forgets to feed his livestock. The ensuing rebellion under the leadership of the pigs Napoleon and Snowball leads to the animals taking over the farm. Vowing to eliminate the terrible inequities of the farmyard, the renamed Animal Farm is organised to benefit all who walk on four legs. But as time passes, the ideals of the rebellion are corrupted, then forgotten. And something new and unexpected emerges..",['literature']
Of Human Bondage,"Of Human Bondage is a moving exploration of loneliness, obsessive love, and a young man's search for meaning and direction in life. Written in the third person, it tells the story of Philip Carey, a self-conscious orphan with a club-foot who learns medicine. Not only is this a significant work in the Bildungsroman tradition, but its largely autobiographical basis gives it a special interest in view of the exceptional public success that Somerset Maugham was to enjoy over several decades.",['literature']
Greenmantle,"In Greenmantle (1916) Richard Hannay, hero of The Thirty-Nine Steps, travels across war-torn Europe in search of a German plot and an Islamic Messiah. He is joined by three more of Buchan's heroes: Peter Pienaar, the old Boer Scout; John S. Blenkiron, the American determined to fight the Kaiser; and Sandy Arbuthnot, Greenmantle himself, modelled on Lawrence of Arabia. The intrepid four move in disguise through Germany to Constantinople and the Russian border toface their enemies: the grotesque Stumm and the evil beauty of Hilda von Einem.",['literature']
King Henry IV. Part 2,"Shakespeare Memorial Theatre, Stratford-upon-Avon, Summer festival, June 27th to September 10th, 1932. ""The Second Part of Henry the Fourth, containing his death, and the coronation of King Henry the Fifth,"" by William Shakespeare. The prologue will be spoken by Eugene Wellesley and the epilogue by Hilda Coxhead.","['literature', 'plays']"
Der Proceß,"Byzantine and claustrophobic novel of a man arrested by the secret police and charged with an unspecified crime. Unable to defend himself and disorientated by the legal process at work around him the man soon becomes apathetic and acquiescent, accepting his eventual sentence as inevitable.",['literature']
Lord Jim,"This compact novel, completed in 1900, as with so many of the great novels of the time, is at its baseline a book of the sea. An English boy in a simple town has dreams bigger than the outdoors and embarks at an early age into the sailor's life. The waters he travels reward him with the ability to explore the human spirit, while Joseph Conrad launches the story into both an exercise of his technical prowess and a delicately crafted picture of a character who reaches the status of a literary hero.",['literature']
A Portrait of the Artist as a Young Man,"Stephen Dedalus grows up in Dublin, feeling different from the other boys. His childhood and adolescence are shaped by bullying, his father's weaknesses and the growing realization that in order to make his way in the world he must reject a conventional life and boecome an artist.

Penguin Popular Classics are the perfect introduction to the world-famous Penguin Classics series — which encompasses the best books ever written, from Homer's Odyssey to Orwell's 1984 and everything in between.",['literature']
Orlando,"In her most exuberant, most fanciful novel, Woolf has created a character liberated from the restraints of time and sex. Born in the Elizabethan Age to wealth and position, Orlando is a young nobleman at the beginning of the story-and a modern woman three centuries later.",['literature']
Братья Карамазовы,"The Brothers Karamazov, Dostoevsky’s crowning achievement, is a tale of patricide and family rivalry that embodies the moral and spiritual dissolution of an entire society (Russia in the 1870s). It created a national furor comparable only to the excitement stirred by the publication, in 1866, of Crime and Punishment. To Dostoevsky, The Brothers Karamazov captured the quintessence of Russian character in all its exaltation, compassion, and profligacy. Significantly, the book was on Tolstoy’s bedside table when he died. Readers in every language have since accepted Dostoevsky’s own evaluation of this work and have gone further by proclaiming it one of the few great novels of all ages and countries.
([source][1])",['literature']
Heretics,"Gilbert Keith Chesterton was born in London, England on the 29th of May, 1874. Though he considered himself a mere rollicking journalist, he was actually a prolific and gifted writer in virtually every area of literature. A man of strong opinions and enormously talented at defending them, his exuberant personality nevertheless allowed him to maintain warm friendships with people - such as George Bernard Shaw and H.",['literature']
A Room of One's Own,"A Room of One's Own is an extended essay by Virginia Woolf. First published on 24 October 1929, the essay was based on a series of lectures she delivered at Newnham College and Girton College, two women's colleges at Cambridge University in October 1928. While this extended essay in fact employs a fictional narrator and narrative to explore women both as writers of and characters in fiction, the manuscript for the delivery of the series of lectures, titled ""Women and Fiction"", and hence the essay, are considered non-fiction. The essay is generally seen as a feminist text, and is noted in its argument for both a literal and figural space for women writers within a literary tradition dominated by patriarchy.",['literature']
Dombey and Son,"Dombey and Son is both a firm and a family and the ambiguous connection between public and private life lies at the heart of Dickens' novel.   Paul Dombey is a man who runs his domestic affairs as he runs his business: calculatingly, callously, coldly and commercially.  Through his dysfunctional relationships with his son, his two wives, and his neglected daughter Florence, Dickens paints a vivid picture of the limitations of a society dominated by commercial values and the drive for profit andexplores the possibility of moral and emotional redemption through familial love.",['literature']
Essais,"The complete essays of Michel de Montaigne, 1533-1592.",['literature']
Martin Chuzzlewit,"The greed of his family has led wealthy old Martin Chuzzlewit to become suspicious and misanthropic, leaving his grandson and namesake to make his own way in the world. And so young Martin sets out from the Wiltshire home of his supposed champion, the scheming architect Pecksniff, to seek his fortune in America. In depicting Martin's journey – an experience that teaches him to question his inherited self-interest and egotism – Dickens created many vividly realized figures: the brutish lout Jonas Chuzzlewit, plotting to gain the family fortune; Martin's optimistic manservant, Mark Tapley; gentle Tom Pinch; and the drunken and corrupt private nurse, Mrs Gamp. With its portrayal of greed, blackmail and murder, and its searing satire on America Dickens's novel is a powerful and blackly comic story of hypocrisy and redemption.",['literature']
What Katy Did,"Twelve-year-old Katie, living with her father, aunt, and five siblings in a small town in the 1870's, constantly makes and breaks resolutions to be a kind and generous person like her invalid Cousin Helen, but when she herself is bedridden after an accident, Katie finds her cousin's example very hard to follow.",['literature']
History,"One of the earliest histories of the western world still extant, this gives a contemporary account of the Greco-Persian wars of the fifth century BCE with the rise of the Achaemenid Empire under Cyrus the Great.","['literature', 'poetry']"
Les lettres de mon moulin,"Célèbres histoires de Provence, pour enfants de tous les âges.",['literature']
"Tom Sawyer, Detective","Tom Sawyer, Detective follows Twain's popular novels The Adventures of Tom Sawyer,  Adventures of Huckleberry Finn, and Tom Sawyer Abroad. In this novel, Tom turns detective, trying to solve a murder. Twain plays with and celebrates the detective novel, wildly popular at the time. This novel, like the others, is told through the first-person narrative of Huck Finn.","['literature', 'mystery_and_detective_stories']"
Crome yellow,"“Crome Yellow”   by Aldous Huxley ; 1922

A young English poet, Denis Stone, is spending some time at Crome, an English estate and mansion of the  Wimbush family.  He is in love with Anne Wimbush, the niece of Henry Wimbush.  The other guests include a few other writers, an artist, and it is in essence a small gathering of people who are also  close friends.  
Denis has just started to write a novel.  But  he is going through a period of questioning himself as a writer.   He is also unhappy that Anne does not love him. One particular evening he is feeling particularly miserable: 
 “..........................Why had he climbed up to this high, desolate place? Was it to look at the moon? Was  it to commit suicide? As yet he hardly knew.  Death—the tears came into his eyes when  he thought of it. His misery assumed a  certain solemnity; he was lifted  up  on  the wings of a kind of exaltation.    It was a  mood in which he might have done almost anything, however foolish. ..""
Denis's train of thoughts is interrupted by Mary, another guest.  He confides in her and she suggests that perhaps he should return to London, on the excuse of urgent business. But  the next day, as prepares to leave Crome, has anything been resolved ?  The story ends on this note: 

“…..............Obediently Denis left the room. Never again, he said to himself, never again would he do anything decisive. Camlet, West Bowlby, Knipswich for Timpany, Spavin Delawarr; and then all the other stations; and then, finally, London. The thought of the journey appalled him. And what on earth was he going to do in London when he got there? He climbed wearily up the stairs. It was time for him to lay himself in his coffin............................”",['literature']
The  light that failed,"So we settled it all when the storm was done As comf'y as comf'y could be; And I was to wait in the barn, my dears, Because I was only three; And Teddy would run to the rainbow's foot, Because he was five and a man; And that's how it all began, my dears, And that's how it all began.  -  Big Barn Stories.",['literature']
The Waves,"Tracing the lives of a group of friends, this novel follows their development from childhood to middle age. Social events, individual achievements and disappointments form the outer structure of the book, but the focus is the inner life of the characters which is conveyed in rich poetic language.",['literature']
Poetics,"One of the first books written on what is now called aesthetics. Although parts are lost (e.g., comedy), it has been very influential in western thought, such as the part on tragedy.","['literature', 'poetry']"
Les Liaisons dangereuses,"Cet ouvrage, ou plutot ce recueil, que le public trouvera peut-etre encore trop volumineux, ne contient pourtant que le plus petit nombre des lettres qui composaient la totalite de la correspondance dont il est extrait. Charge de la mettre en ordre par les personnes a qui elle etait parvenue, et que je savais dans l'intention de la publier, je n'ai demande, pour prix de mes soins, que la permission d'elaguer tout ce qui me paraitrait inutile; et j'ai tache de ne conserver en effet que les lettres qui m'ont paru necessaires, soit a l'intelligence des evenements, soit au developpement des caracteres.",['literature']
Trilby,"In the Latin Quarter of Paris, Trilby O'Ferrall - graceful, charming and innocent - is working as an artist's model. Her ingenuous nature makes her the perfect prey for the cruel magnetism of the demonic musician Svengali, under whose spell she falls. Using hypnotic powers Svengali shapes her into a virtuoso singer and soon she becomes Europe's most captivating soprano. But her golden voice, and even her life, will become fatally tied to him. With its thrilling plot and legendary villain, Trilby caused a sensation when it appeared in 1894, spawning songs, shoes and, most famously, the Trilby hat. Yet it is also a fascinating portrayal of its times, holding up a mirror to fin de siecle obsessions with sexuality, mesmerism and the occult.",['literature']
Murder on the Orient Express,"***While en route from Syria to Paris, in the middle of a freezing winter's night, the Orient Express is stopped dead in its tracks by a snowdrift.*** Passengers awake to find the train still stranded and to discover that a wealthy American has been brutally stabbed to death in his private compartment. Incredibly, that compartment is locked from the inside. With no escape into the wintery landscape the killer must still be on board. ***Fortunately, the brilliant Belgian inspector Hercule Poirot is also on board, having booked the last available berth.***

***Murder on the Orient Express is one of Agatha Christie’s most famous novels***, owing no doubt to a combination of its romantic setting and the ingeniousness of its plot; its non-exploitative reference to the sensational kidnapping and murder of the infant son of Charles and Anne Morrow Lindbergh only two years prior; and a popular ***1974 film adaptation, starring Albert Finney as Poirot - one of the few cinematic versions of a Christie work that met with the approval, however mild, of the author herself.***",['literature']
The Pit,"This classic literary critique of turn-of-the-century capitalism in the United States reveals Norris's powerful story of an obsessed trader intent on cornering the wheat market and the consequences of his unchecked greed.

The Pit was part two of a planned three part trilogy, The Epic of the Wheat (The Octopus was part one), however Norris died before completing the third novel.",['literature']
On the origin of species by means of natural selection,"Charles Darwin's seminal work laying the foundations for the principles of evolutionary biology via natural selection, based on evidence that he collected during his expedition on *HMS Beagle* in the 1830s.",['literature']
Il purgatorio,"Com’ io l’ho tratto, saria lungo a dirti;","['literature', 'poetry']"
Night and Day,"Night and day, Virginia Woolf's second novel, is both a love story and a social comedy in the tradition of Jane Austen; yet it also questions that tradition, recognizing that the goals of society and the individual may not necessarily coincide. At its center is Katharine Hilbery, the beautiful grand-daughter of a great Victorian poet. She must choose between becoming engaged to the oddly prosaic poet William Rodney and her attraction to Ralph Denham, with whom she feels a more profound and disturbing affinity. Katharine's hesitation is vividly contrasted with the approach of her friend Mary Datchet, dedicated to the Women's Rights movement. The ensuing complications are underlined and to some extent unravelled by Katharine's mother, Mrs Hilbery, whose struggles to weave together the known documents, events and memories of her father's life into a coherent biography reflect Woolf's own sense of the unique and elusive nature of experience.",['literature']
A Thief in the Night,"First published in 1905, A Thief in the Night is the third collection of stories detailing the exploits and intrigues of gentleman thief A. J. Raffles in late Victorian England. In public a popular sportsman, in private a cunning burglar with a weakness for valuable jewelery, Arthur Raffles, with the help of his side-kick Bunny Manders, always manages to thwart the investigations of Scotland Yard's Inspector Mackenzie. Popular in its day, this is the last collection of short stories about E. W. Hornung's most famous character - followed only by a novel, Mr. Justice Raffles.","['literature', 'short_stories']"
"Rupert of Hentzau [by] Anthony Hope [pseud.] being the sequel to a story by the same writer, entitled The prisoner of Zenda","With the death of Black Michael of Strelsau and the restoration of King Rudolf to the throne, the troubles of Ruritania may seem to be at an end. But lasting peace cannot be secure when the notorious Rupert of Hentzau is still at large.",['literature']
"Works [37 plays, 6 poems, sonnets]","Contains 44 works:

PLAYS (37)
All's well that ends well
Antony and Cleopatra
As you like it
Comedy of errors
Coriolanus
Cymbeline
[Hamlet](https://openlibrary.org/works/OL15203981W/Hamlet)
Julius Caesar
King Henry IV. Part 1
King Henry IV. Part 2
King Henry V
King Henry VI. Part 1
King Henry VI. Part 2
King Henry VI. Part 3
King Henry VIII
King John
King Lear
King Richard II
King Richard III
Love's labour's lost
Macbeth
Measure for measure
Merchant of Venice
Merry wives of Windsor
Midsummer night's dream
[Much Ado About Nothing](https://openlibrary.org/works/OL362691W)
Othello, the Moor of Venice
Pericles, prince of Tyre
[Romeo and Juliet](https://openlibrary.org/works/OL258796W/Romeo_and_Juliet)
Taming of the shrew
[Tempest](https://openlibrary.org/works/OL362699W)
Timon of Athens
Titus Andronicus
Troilus and Cressida
Twelfth night; or what you will
Two gentlemen of Verona
Winter's tale

POEMS (7)
Lover's Complaint
Passionate Pilgrim
Phoenix and the Turtle
Rape of Lucrece
Sonnets
**Sonnets to Sundry Notes of Music**
Venus and Adonis","['literature', 'plays', 'poetry']"
My Ántonia,"My Antonia, first published 1918, is one of Willa Cather's greatest works. It is the last novel in the Prairie trilogy, preceded by O Pioneers! and The Song of the Lark.My Antonia tells the stories of several immigrant families who move out to rural Nebraska to start new lives in America, with a particular focus on a Bohemian family, the Shimerdas, whose eldest daughter is named Antonia. The book's narrator, Jim Burden, arrives in the fictional town of Black Hawk, Nebraska, on the same train as the Shimerdas, as he goes to live with his grandparents after his parents have died. Jim develops strong feelings for Antonia, something between a crush and a filial bond, and the reader views Antonia's life, including its attendant struggles and triumphs, through that lens.",['literature']
Отцы и дети,"Fathers and Sons takes the conflict between generations as its subject. The novel's central characters, Yevgeny Bazarov and his disciple and fellow student, Arkady Kirsanov, are self-proclaimed Nihilists: repudiators of all the received truths of art, religion, and politics-all claims to truth, in fact, except those verifiable by scientific experiment. Turgenev thrusts his snarling young radicals into the venerable world of fathers when Bazarov accompanies Arkady to the Kirsanov country estate. The visit inevitably turns sour, and Arkady's Uncle Pavel and Bazarov find themselves at one another's metaphysical throats. Their disagreements escalate into a dangerous confrontation.When Fathers and Sons was published in 1862, it enveloped its author in a storm of controversy. Those on the political right saw it as a dangerous glorification of nihilism, whereas those on the political left believed it to be a vicious caricature of the progressives of the younger generation. Today, the novel continues to engage us with its vital characters and subtle handling of universal themes.",['literature']
"Cartuja de Parma, La","Headstrong and naive, the young Italian aristocrat Fabrizio del Dongo is determined to defy the wrath of his right-wing father and go to war to fight for Napoleon. He stumbles on the Battle of Waterloo, ill-prepared, yet filled with enthusiasm for war and glory. Finally heeding advice, Fabrizio sneaks back to Milan, only to become embroiled in a series of amorous exploits, fuelled by his impetuous nature and the political chicanery of his aunt Gina and her wily lover. Judged by Balzac to be the most important French novel of its time, *The Charterhouse of Parma* is a compelling novel of extravagance and daring, blending the intrigues of the Italian court with the romance and excitement of youth.",['literature']
Vanity Fair,"No one is better equipped in the struggle for wealth and worldly success than the alluring and ruthless Becky Sharp, who defies her impoverished background to clamber up the class ladder. Her sentimental companion Amelia, however, longs only for caddish soldier George. As the two heroines make their way through the tawdry glamour of Regency society, battles - military and domestic - are fought, fortunes made and lost. The one steadfast and honourable figure in this corrupt world is Dobbin with his devotion to Amelia, bringing pathos and depth to Thackeray's gloriously satirical epic of love and social adventure.",['literature']
Middlemarch,"Eliot’s epic of 19th century provincial social life, set in a fictitious Midlands town in the years 1830-32, has several interlocking storylines blended effortlessly together to form a fully coherent narrative. Its main themes are the status of women, social expectations and hypocrisy, religion, political reform and education. It has often been called the greatest novel in the English language.",['literature']
Typee,"At one time the most popular of Melville's works, Typee was known as a travelogue that idealized and romanticized a mysterious South Sea island for readers in the ruthless, industrial, ""civilized"" world of the nineteenth century.

But Melville's story of Tommo, the Yankee sailor who enters the flawed Pacific paradise of Nuku Hiva, is also a fast-moving adventure tale, an autobiographical account of the author's own Polynesian stay, an examination of the nature of good and evil, and a frank exploration of sensuality and exotic ritual. This edition of Typee, which reproduces the definitive text and the complete, never-before-published manuscript reading text, includes invaluable explanatory commentary by John Bryant.",['literature']
When the Sleeper Awakes,"A troubled insomniac in 1890s England falls suddenly into a sleep-like trance, from which he does not awake for over two hundred years. During his centuries of slumber, however, investments are made that make him the richest and most powerful man on Earth. But when he comes out of his trance he is horrified to discover that the money accumulated in his name is being used to maintain a hierarchal society in which most are poor, and more than a third of all people are enslaved. Oppressed and uneducated, the masses cling desperately to one dream – that the sleeper will awake, and lead them all to freedom.","['literature', 'science_fiction']"
Der Zauberberg,"One of the most influential and celebrated German works of the 20th century has been newly rendered in English by Woods, twice winner of the PEN Translation Prize. First published in 1929, Mann's novel tells the story of Hans Castorp, a modern everyman who spends seven years in an Alpine sanatorium for tuberculosis patients, finally leaving to become a soldier in World War I. Isolated from the concerns of the everyday world, he is exposed to the wide range of ideas that shaped a world on the verge of explosion. Considering what was to follow, the most poignant moment comes when Naphta, a Jewish-born Jesuit, defends the use of terror and the taking of life for the sake of an all-encompassing idea. Woods's work reads more naturally than the original translation, which, while faithful to the German, was stiff and forbidding. A necessary addition to any fiction collection.",['literature']
Οἰδίπους Τύραννος (Oidípous Týrannos),"Oedipus Rex chronicles the story of Oedipus, a man that becomes the king of Thebes and was always destined from birth to murder his father Laius and marry his mother Jocasta. The play is an example of a classic tragedy, noticeably containing an emphasis on how Oedipus's own faults contribute to the tragic hero's downfall, as opposed to having fate be the sole cause. Over the centuries, Oedipus Rex has come to be regarded by many as the Greek tragedy par excellence.",['literature']
"Familiar quotations; a collection of passages, phrases, and proverbs traced to their sources in ancient and modern literature","Accurate • Modern • Reliable • Convenient

♦

THE FIRST AND ONLY HANDY POCKET EDITION OF THE WORLD-FAMOUS TREASURY OF QUOTATIONS

""Everyone who puts words on paper for others to reod, everyone who ever speaks to an audience, even though it be an audience of three, needs 'Bartlett.'""

THE SHORTER BARTLETT'S FAMILIAR QUOTATIONS is a compact new edition based on one of the most treasured books in American life — BARTLETT'S FAMILIAR QUOTATIONS. As a rich and varied storehouse of the wit and wisdom of mankind Bartlett is unique. As a definitive guide and reference volume Bartlett is unsurpassed.

We can live without dictionaries or without encyclopaedias but where is the writer who can live without Bartlett's 'Familiar Quotations'? Whoever has it possesses a sure shunch' to the memory.""

The Chicago Tribune",['literature']
The education of Henry Adams,"The Education of Henry Adams is the autobiography of the Bostonian Henry Adams. As he approached his seventieth birthday when ""the mind wakes to find itself looking blankly into the void of death,"" Adams wrote and privately printed 100 copies of his ""Education"", a reflection on the incredible events of the 19th century. Adams meditates on his sense of disorientation with the scientific and technological expansion over his lifetime. After his death the book was commercially published, going on to become a best-seller and to win the Pulitzer Prize.",['literature']
Nostromo,"A gripping tale of capitalist exploitation and rebellion, set amid the mist-shrouded mountains of a fictional South American republic, employs flashbacks and glimpses of the future to depict the lure of silver and its effects on men. Conrad's deep moral consciousness and masterful narrative technique are at their best in this, one of his greatest works.","['literature', 'romance']"
King Richard III,"Provides a straightforward explanation of the text that carefully leads students through the play to reach a better understanding and appreciation of it. York Notes, the ultimate best-selling literature guides, are a useful background for both quick-reference and insightful interpretations.","['literature', 'plays']"
The Good Earth,"This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.

Hard times come upon Wang Lung and his family when flood and drought force them to seek work in the city. The working people riot, breaking into the homes of the rich and forcing them to flee. When Wang Lung shows mercy to one noble and is rewarded, he begins to rise in the world, even as the House of Hwang falls.",['literature']
The Curse of Capistrano,"The rousing adventure that gave birth to one of popular culture's most enduring iconsOriginally titled The Curse of Capistrano in its 1919 debut, this exciting tale achieved immortal fame thanks to Douglas Fairbanks's 1920 blockbuster film, The Mark of Zorro-a cinematic triumph that inspired Johnston McCulley to retitle his novel and dedicate it to Fairbanks. Set in Mexican California during the 1820s, the story follows the career of Don Diego Vega, by all appearances an effete and foppish aristocrat. But Vega's timorous reputation is nothing more than a mask to conceal his alter ego: a California Robin Hood known as Zorro, whose swift blade strikes down those who exploit the poor and oppressed. The inspiration for dozens of film and television adaptations, The Mark of Zorro remains a paradigm of swashbuckling adventure.First time in Penguin ClassicsIncludes an introduction and filmography",['literature']
"The Renaissance, Studies in Art and Poetry","Walter Pater’s Studies in the History of the Renaissance was one of the most talked about books in nineteenth-century Britain, and it remains a work of unusual importance to anyone interested in art history or English literature. Pater’s luxurious and finely wrought style inspired generations of writers, and his unique blend of scholarship, philosophy, and personal bias made his view of the quintessential ‘spirit of the renaissance’ a key subject for subsequent aesthetic debate.",['literature']
Sult,"First published in Norway in 1890, Hunger probes into the depths of consciousness with frightening and gripping power. Like the works of Dostoyevsky, it marks an extraordinary break with Western literary and humanistic traditions.


----------
Also contained in:

 - [Ernest Hemingway / Knut Hamsun / Hermann Hesse ](https://openlibrary.org/works/OL17970062W)",['literature']
Mayor of Casterbridge,"In a fit of drunken anger, Michael Henchard sells his wife and baby daughter for five guineas at a country fair. Over the course of the following years, he manages to establish himself as a respected and prosperous pillar of the community of Casterbridge, but behind his success there always lurk the shameful secret of his past and a personality prone to self-destructive pride and temper. Subtitled 'A Story of a Man of Character', Hardy's powerful and sympathetic study of the heroic but deeply flawed Henchard is also an intensely dramatic work, tragically played out against the vivid backdrop of a close-knit Dorsetshire town.",['literature']
The Bell Jar,The Bell Jar is the only novel written by American poet Sylvia Plath. It is an intensely realistic and emotional record of a successful and talented young woman's descent into madness.,"['literature', 'poetry']"
Germinal,"The thirteenth novel in Emile Zola's great Rougon-Macquart sequence, Germinal expresses outrage at the exploitation of the many by the few, but also shows humanity's capacity for compassion and hope.Etienne Lantier, an unemployed railway worker, is a clever but uneducated young man with a dangerous temper. Forced to take a back-breaking job at Le Voreux mine when he cannot get other work, he discovers that his fellow miners are ill, hungry, and in debt, unable to feed and clothe their families. When conditions in the mining community deteriorate even further, Lantier finds himself leading a strike that could mean starvation or salvation for all.",['literature']
The Alchemist,"Combining magic, mysticism, wisdom and wonder into an inspiring tale of self-discovery, The Alchemist has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.

Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.",['literature']
The Marble Faun,"Hawthorne's novel of Americans abroad, the first novel to explore the influence of European cultural ideas on American morality. Although it is set in Rome, the fictive world of The Marble Faun depends not on Italy's social or historical significance, but rather on its aesthetic importance as a definer of 'civilization'. As in The Scarlet Letter, Hawthorne is concerned here with the nature of transgression and guilt. A murder, motivated by love, affects not only Donatello, the murderer, but his beloved Miriam and their friends Hilda and Kenyon. As he explores the reactions of each to the crime, Hawthorne dramatizes both the freedoms a new cultural model inspires and the self-censoring conformities it requires. His examination of the influence of European culture on American travellers lay the groundwork for such later works of American fiction as Mark Twain's The Innocents Abroad and Henry James' The Portrait of a Lady.",['literature']
The A.B.C. Murders,"There's a serial killer on the loose, bent on working his way though the alphabet.  There seems little chance of the murderer being caught - until her makes the crucial and vain mistake of challenging Hercule Poirot to frustrate his plans . . .","['literature', 'mystery_and_detective_stories']"
A Clockwork Orange,"A Clockwork Orange is a dystopian satirical black comedy novel by English writer Anthony Burgess, published in 1962. It is set in a near-future society that has a youth subculture of extreme violence. The teenage protagonist, Alex, narrates his violent exploits and his experiences with state authorities intent on reforming him. The book is partially written in a Russian-influenced argot called ""Nadsat"", which takes its name from the Russian suffix that is equivalent to '-teen' in English. According to Burgess, it was a jeu d'esprit written in just three weeks.

In 2005, A Clockwork Orange was included on Time magazine's list of the 100 best English-language novels written since 1923, and it was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. The original manuscript of the book has been kept at McMaster University's William Ready Division of Archives and Research Collections in Hamilton, Ontario, Canada since the institution purchased the documents in 1971. It is considered one of the most influential dystopian books.

----------		
Also contained in:		

[A Clockwork Orange and Honey for the Bears](https://openlibrary.org/works/OL23787405W)
[A Clockwork Orange / The Wanting Seed](https://openlibrary.org/works/OL17306508W)","['literature', 'science_fiction']"
Platero y yo,"*Platero y yo* es una obra lírica escrita por el escritor y Premio Nobel de Literatura (1956) español Juan Ramón Jiménez, que recrea poéticamente la vida del asno Platero, su inseparable amigo de niñez y juventud.

El libro está constituido por breves estampas que entre sí no guardan un orden temático y responden a impresiones, sensaciones y recuerdos de Moguer en la etapa infantil de Juan Ramón Jiménez. Aparece como un diario en donde se detallan los aspectos más interesantes de la realidad, del pensamiento y del sentimiento del autor. Sin embargo, ni es un diario ni un libro autobiográfico, sino una selección de historias tomadas de un mismo ambiente real y escogidas entre los múltiples recuerdos del pasado.",['literature']
Loving,"Bettina Daniels lived a fairytale existence of  glamour, endless parties, and luxury among  America's top celebrities -- simply because she was the  beautiful daughter of famous American author Justin Daniels. Then, in one moment of tragedy, her  father was dead, and Bettina discovered the truth  -- he had spent every dime he'd ever earned and run up  millions in debt. At eighteen, penniless and  alone, she had lost everything except her father's dearest friend, Ivo Stewart. A wealthy, handsome publisher  of sixty-two, he offered Bettina a way out: marriage. But only for a time. What lay  ahead for Bettina was a life filled with shocks and  surprises -- and eventually a chance to become a  playwright, and a writer like her father. Having  learned her lessons dearly, Bettina blossoms into  her own person at last. — From the Paperback edition.",['literature']
Один день Ивана Денисовича,"First published in the Soviet journal Novy Mir in 1962, One Day in the Life of Ivan Denisovich stands as a classic of contemporary literature. The story of labor-camp inmate Ivan Denisovich Shukhov, it graphically describes his struggle to maintain his dignity in the face of communist oppression. An unforgettable portrait of the entire world of Stalin's forced work camps, One Day in the Life of Ivan Denisovich is one of the most extraordinary literary documents to have emerged from the Soviet Union and confirms Solzhenitsyn's stature as ""a literary genius whose talent matches that of Dosotevsky, Turgenev, Tolstoy""--Harrison Salisbury

This unexpurgated 1991 translation by H. T. Willetts is the only authorized edition available and fully captures the power and beauty of the original Russian.",['literature']
Christmas Books (Battle of Life / Chimes / Christmas Carol / Cricket on the Hearth / Haunted Man),A collection of five stories about Christmas by English author Charles Dickens.,['literature']
Sozialgeschichte der Kunst und Literatur,"First published in 1951 as Socialgeschichte der Kunst und Literatur, Arnold Hauser's comprehensive work explores the interaction between art and society. Through the detailing of social and historical movements Hauser provides insight into the origins of visual art.",['literature']
At Fault,"At Fault is Kate Chopin’s early novel about a young widow seeking to reconcile her own needs with those of the people she is responsible for.
([source][1])


  [1]: https://www.katechopin.org/at-fault/


----------
Also contained in:
[Complete Works of Kate Chopin](https://openlibrary.org/works/OL65439W)",['literature']
The Wealth of Nations,"Adam Smith's The Wealth of Nations was recognized as a landmark of human thought upon its publication in 1776. As the first scientific argument for the principles of political economy, it is the point of departure for all subsequent economic thought. Smith's theories of capital accumulation, growth, and secular change, among others, continue to be influential in modern economics. This reprint of Edwin Cannan's definitive 1904 edition of The Wealth of Nations includes Cannan's famous introduction, notes, and a full index, as well as a new preface written especially for this edition by the distinguished economist George J. Stigler. Mr. Stigler's preface will be of value for anyone wishing to see the contemporary relevance of Adam Smith's thought.",['literature']
On The Road,"Described as everything from a ""last gasp"" of romantic fiction to a founding text of the Beat Generation movement, this story amounts to a nonfiction novel (as critics were later to describe some works).  Unpublished writer buddies wander from coast to coast in search of whatever they find, eager for experience.  Kerouac's spokesman is Sal Paradise (himself) and real-life friend Neal Casady appears as Dean Moriarty.",['literature']
